Article Name,Topic,Functions Spanned,Live Link
Which email messages count towards my monthly email send limit?,Account,Users; Ai; Workflow; Workflows; Subscriptions; Blog; Cms; Content; Knowledge Base; Contacts; Email; Marketing Email,https://knowledge.hubspot.com/Account/Which-email-messages-count-towards-my-HubSpot-Account-s-email-send-limit
Create tracking URLs,Settings,Permissions; Users; Ai; Subscriptions; Blog; Cms; Content; Knowledge Base; Ads; Campaigns; Email; Marketing Email,https://knowledge.hubspot.com/Settings/How-do-I-create-a-tracking-URL
Set up browser notifications,Acccount Management,Users; Ai; Subscriptions; Products; Blog; Cms; Content; Knowledge Base; Email,https://knowledge.hubspot.com/acccount-management/set-up-browser-notifications
Account suspension | Frequently Asked Questions,Account Management,Users; Ai; Subscriptions; Products; Blog; Cms; Content; Landing Pages; Knowledge Base; Email; Forms; Marketing Email,https://knowledge.hubspot.com/account-management/account-suspension-faq
Add and manage email signatures in the CRM,Account Management,Permissions; Users; Ai; Subscriptions; Products; Blog; Cms; Content; Knowledge Base; Records; Email; Conversations Inbox,https://knowledge.hubspot.com/account-management/add-an-email-signature-in-the-crm
Add and edit your account currencies,Account Management,Permissions; Users; Ai; Workflow; Workflows; Subscriptions; Products; Line Items; Blog; Cms; Content; Knowledge Base,https://knowledge.hubspot.com/account-management/add-and-edit-your-account-currencies
Add HubSpot users,Account Management,Permissions; Teams; Users; Ai; Subscriptions; Products; Blog; Cms; Content; Knowledge Base; Properties; Associations,https://knowledge.hubspot.com/account-management/add-hubspot-users
Sandbox assets eligible to be deployed to production,Account Management,Users; Ai; Workflow; Workflows; Enrollment; Subscriptions; Blog; Cms; Content; Knowledge Base; Properties; Associations,https://knowledge.hubspot.com/account-management/assets-eligible-to-be-deployed-to-production
Turn on automatic updates to currency exchange rates,Account Management,Users; Breeze; Ai; Subscriptions; Blog; Cms; Content; Knowledge Base; Deals; Email; Manage automatic exchange rate update settings,https://knowledge.hubspot.com/account-management/automatic-exchange-rate-updates
Customize default region and language settings,Account Management,Users; Ai; Subscriptions; Products; Blog; Cms; Content; Knowledge Base; Properties; Email; Social; Analytics,https://knowledge.hubspot.com/account-management/change-your-language-and-region-settings
Contact HubSpot about an account,Account Management,Teams; Users; Ai; Workflow; Workflows; Payments; Invoices; Subscriptions; Blog; Cms; Content; Knowledge Base,https://knowledge.hubspot.com/account-management/contact-hubspot-about-an-account
Copy assets to another HubSpot account with multi-account management,Account Management,Permissions; Users; Ai; Workflow; Workflows; Automation; Subscriptions; Blog; Cms; Content; Knowledge Base; Records,https://knowledge.hubspot.com/account-management/copy-assets-to-another-hubspot-account
Create multi-account reports,Account Management,Permissions; Users; Ai; Subscriptions; Products; Blog; Cms; Content; Knowledge Base; Ctas; Email; Reports,https://knowledge.hubspot.com/account-management/create-multi-account-reports
Create multi-account workflows,Account Management,Permissions; Users; Ai; Workflow; Workflows; Automation; Subscriptions; Products; Blog; Cms; Content; Knowledge Base,https://knowledge.hubspot.com/account-management/create-multi-account-workflows
Create notification profiles,Account Management,Permissions; Teams; Users; Ai; Subscriptions; Blog; Cms; Content; Knowledge Base; Duplicate; Email; Create an account default notifications profile,https://knowledge.hubspot.com/account-management/create-notification-profiles
Create a sandbox and deploy changes to production,Account Management,Account Settings; Permissions; Teams; Users; Ai; Workflow; Workflows; Enrollment; Automation; Invoices; Subscriptions; Blog,https://knowledge.hubspot.com/account-management/deploy-sandbox-changes-to-production
Understand the effects of downgrading a paid HubSpot subscription,Account Management,Domains; Permissions; Teams; Users; Ai; Workflow; Workflows; Payments; Subscriptions; Products; Blog; Cms,https://knowledge.hubspot.com/account-management/downgrade-a-paid-subscription
Export your content and data,Account Management,Users; Ai; Workflow; Workflows; Enrollment; Automation; Payments; Invoices; Subscriptions; Quotes; Products; Blog,https://knowledge.hubspot.com/account-management/export-your-content-and-data
Change your HubSpot user's email address,Account Management,Users; Ai; Subscriptions; Products; Blog; Cms; Content; Knowledge Base; Email; Inbox,https://knowledge.hubspot.com/account-management/how-do-i-change-the-email-address-of-a-user
Upgrade your HubSpot account,Account Management,Account Settings; Users; Ai; Subscriptions; Products; Blog; Cms; Content; Knowledge Base; Email,https://knowledge.hubspot.com/account-management/how-do-i-upgrade-my-hubspot-account
Opt out of HubSpot's machine learning data use,Account Management,Users; Ai; Blog; Cms; Content; Knowledge Base; Email,https://knowledge.hubspot.com/account-management/hubspot-machine-learning-data
India Electronic Invoicing | Frequently Asked Questions,Account Management,Users; Ai; Payments; Invoices; Subscriptions; Products; Blog; Cms; Content; Knowledge Base; Contacts; Email,https://knowledge.hubspot.com/account-management/india-electronic-invoicing-frequently-asked-questions
Log in to HubSpot,Account Management,Users; Ai; Subscriptions; Products; Blog; Cms; Content; Knowledge Base; Email; Inbox,https://knowledge.hubspot.com/account-management/log-in-to-hubspot
Log out of HubSpot,Account Management,Users; Ai; Subscriptions; Products; Blog; Cms; Content; Knowledge Base; Email; Customize inactive session timeout,https://knowledge.hubspot.com/account-management/log-out-of-hubspot
Assign and manage seats,Account Management,Permissions; Teams; Users; Ai; Subscriptions; Quotes; Products; Blog; Cms; Content; Knowledge Base; Email,https://knowledge.hubspot.com/account-management/manage-billing-for-seats
Manage multiple HubSpot accounts,Account Management,Users; Ai; Subscriptions; Products; Blog; Cms; Content; Knowledge Base; Contacts; Email; Manage accounts,https://knowledge.hubspot.com/account-management/manage-multiple-hubspot-accounts
Assign and manage seats,Account Management,Permissions; Teams; Users; Ai; Subscriptions; Quotes; Products; Blog; Cms; Content; Knowledge Base; Email,https://knowledge.hubspot.com/account-management/manage-paid-seats
Assign and manage seats,Account Management,Permissions; Teams; Users; Ai; Subscriptions; Quotes; Products; Blog; Cms; Content; Knowledge Base; Email,https://knowledge.hubspot.com/account-management/manage-seats
Manage seats in your HubSpot account (Nordic region limited release),Account Management,Permissions; Teams; Users; Breeze; Ai; Agents; Subscriptions; Blog; Cms; Content; Knowledge Base; Contacts,https://knowledge.hubspot.com/account-management/manage-seats-in-your-hubspot-account
Manage AI settings,Account Management,Permissions; Users; Breeze; Ai; Agents; Invoices; Subscriptions; Quotes; Products; Blog; Cms; Content,https://knowledge.hubspot.com/account-management/manage-your-ai-settings
Migrate account data to another regional data center,Account Management,Domains; Permissions; Teams; Users; Ai; Workflow; Workflows; Delays; Automation; Payments; Subscriptions; Quotes,https://knowledge.hubspot.com/account-management/migrate-your-account-data-to-another-regional-data-center
